Region	idx1	idx2	group
Brain-Left-Cingulate-LRostAntCing	47	47	8
Brain-Left-Cingulate-LCaudAntCing	46	46	8
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	8
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	9
Brain-Left-CerebralCortex-LCerebCtx	6	6	9
Brain-Left-Cingulate-LIsthmCing	7	7	9
Brain-Left-Cingulate-LPostCing	48	48	9
Brain-Left-FrontalLobe-LParsOper	50	50	9
Brain-Left-FrontalLobe-LParsOrb	51	51	9
Brain-Left-FrontalLobe-LParsTriang	52	52	9
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	9
Brain-Left-FrontalLobe-LSupFrontal	10	10	9
Brain-Left-OccipitalLobe-LLatOccipital	11	11	9
Brain-Left-ParietalLobe-LInfParietal	12	12	9
Brain-Left-ParietalLobe-LPrecuneus	13	13	9
Brain-Left-ParietalLobe-LSupParietal	14	14	9
Brain-Left-ParietalLobe-LSupramarg	15	15	9
Brain-Left-SensoryMotorCortex-LParacentral	53	53	9
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	9
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	9
Brain-Left-TemporalLobe-LBanksSTS	18	18	9
Brain-Left-TemporalLobe-LFusiform	19	19	9
Brain-Left-TemporalLobe-LInfTemporal	20	20	9
Brain-Left-TemporalLobe-LMidTemporal	22	22	9
Brain-Left-TemporalLobe-LSupTemporal	23	23	9
Brain-Left-TemporalLobe-LTransvTemporal	62	62	9
Brain-Right-CerebralCortex-RCerebCtx	24	24	9
Brain-Right-Cingulate-RIsthmCing	55	55	9
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	9
Brain-Right-FrontalLobe-RParsOper	58	58	9
Brain-Right-FrontalLobe-RParsTriang	59	59	9
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	9
Brain-Right-FrontalLobe-RSupFrontal	27	27	9
Brain-Right-OccipitalLobe-RLatOccipital	28	28	9
Brain-Right-ParietalLobe-RInfParietal	29	29	9
Brain-Right-ParietalLobe-RPrecuneus	30	30	9
Brain-Right-ParietalLobe-RSupParietal	31	31	9
Brain-Right-ParietalLobe-RSupramarg	32	32	9
Brain-Right-SensoryMotorCortex-RParacentral	63	63	9
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	9
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	9
Brain-Right-TemporalLobe-RBanksSTS	34	34	9
Brain-Right-TemporalLobe-RFusiform	35	35	9
Brain-Right-TemporalLobe-RInfTemporal	36	36	9
Brain-Right-TemporalLobe-RMidTemporal	37	37	9
Brain-Right-TemporalLobe-RSupTemporal	38	38	9
Brain-Left-FrontalLobe-LFrontalPole	65	65	10
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	10
Brain-Right-FrontalLobe-RFrontalPole	66	66	10
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	11
Brain-Left-Cingulate-LIsthmCing	7	7	11
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	11
Brain-Left-FrontalLobe-LParsOper	50	50	11
Brain-Left-FrontalLobe-LParsOrb	51	51	11
Brain-Left-FrontalLobe-LParsTriang	52	52	11
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	11
Brain-Left-FrontalLobe-LSupFrontal	10	10	11
Brain-Left-ParietalLobe-LSupramarg	15	15	11
Brain-Left-TemporalLobe-LBanksSTS	18	18	11
Brain-Left-TemporalLobe-LFusiform	19	19	11
Brain-Left-TemporalLobe-LInfTemporal	20	20	11
Brain-Left-TemporalLobe-LMidTemporal	22	22	11
Brain-Left-TemporalLobe-LSupTemporal	23	23	11
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	11
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	11
Brain-Right-FrontalLobe-RParsOper	58	58	11
Brain-Right-FrontalLobe-RParsOrb	68	68	11
Brain-Right-FrontalLobe-RParsTriang	59	59	11
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	11
