Region	idx1	idx2	group
Brain-Left-TemporalLobe-LFusiform	19	19	22
Brain-Left-TemporalLobe-LInfTemporal	20	20	22
Brain-Left-TemporalLobe-LLingual	21	21	22
Brain-Left-TemporalLobe-LMidTemporal	22	22	22
Brain-Left-TemporalLobe-LSupTemporal	23	23	22
Brain-Right-CerebralCortex-RCerebCtx	24	24	22
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	22
Brain-Right-FrontalLobe-RParsOper	58	58	22
Brain-Right-FrontalLobe-RParsTriang	59	59	22
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	22
Brain-Right-FrontalLobe-RSupFrontal	27	27	22
Brain-Right-OccipitalLobe-RCuneus	71	71	22
Brain-Right-OccipitalLobe-RLatOccipital	28	28	22
Brain-Right-ParietalLobe-RInfParietal	29	29	22
Brain-Right-ParietalLobe-RPrecuneus	30	30	22
Brain-Right-ParietalLobe-RSupParietal	31	31	22
Brain-Right-ParietalLobe-RSupramarg	32	32	22
Brain-Right-SensoryMotorCortex-RParacentral	63	63	22
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	22
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	22
Brain-Right-TemporalLobe-RBanksSTS	34	34	22
Brain-Right-TemporalLobe-RFusiform	35	35	22
Brain-Right-TemporalLobe-RInfTemporal	36	36	22
Brain-Right-TemporalLobe-RMidTemporal	37	37	22
Brain-Right-TemporalLobe-RSupTemporal	38	38	22
Brain-Left-ParietalLobe-LSupParietal	14	14	23
Brain-Left-CerebralCortex-LCerebCtx	6	6	23
Brain-Left-Cingulate-LIsthmCing	7	7	23
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	23
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	23
Brain-Left-FrontalLobe-LSupFrontal	10	10	23
Brain-Left-OccipitalLobe-LCuneus	69	69	23
Brain-Left-OccipitalLobe-LLatOccipital	11	11	23
Brain-Left-OccipitalLobe-LPericalc	70	70	23
Brain-Left-ParietalLobe-LInfParietal	12	12	23
Brain-Left-ParietalLobe-LPrecuneus	13	13	23
Brain-Left-ParietalLobe-LSupramarg	15	15	23
Brain-Left-SensoryMotorCortex-LParacentral	53	53	23
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	23
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	23
Brain-Left-TemporalLobe-LBanksSTS	18	18	23
Brain-Left-TemporalLobe-LFusiform	19	19	23
Brain-Left-TemporalLobe-LInfTemporal	20	20	23
Brain-Left-TemporalLobe-LLingual	21	21	23
Brain-Left-TemporalLobe-LMidTemporal	22	22	23
Brain-Right-CerebralCortex-RCerebCtx	24	24	23
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	23
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	23
Brain-Right-FrontalLobe-RSupFrontal	27	27	23
Brain-Right-OccipitalLobe-RCuneus	71	71	23
Brain-Right-OccipitalLobe-RLatOccipital	28	28	23
Brain-Right-ParietalLobe-RInfParietal	29	29	23
Brain-Right-ParietalLobe-RPrecuneus	30	30	23
Brain-Right-ParietalLobe-RSupParietal	31	31	23
Brain-Right-ParietalLobe-RSupramarg	32	32	23
Brain-Right-SensoryMotorCortex-RParacentral	63	63	23
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	23
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	23
Brain-Right-TemporalLobe-RBanksSTS	34	34	23
Brain-Right-TemporalLobe-RMidTemporal	37	37	23
Brain-Right-TemporalLobe-RSupTemporal	38	38	23
Brain-Left-ParietalLobe-LSupramarg	15	15	24
Brain-Left-CerebralCortex-LCerebCtx	6	6	24
Brain-Left-Cingulate-LIsthmCing	7	7	24
Brain-Left-Cingulate-LPostCing	48	48	24
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	24
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	24
Brain-Left-FrontalLobe-LParsOper	50	50	24
Brain-Left-FrontalLobe-LParsOrb	51	51	24
Brain-Left-FrontalLobe-LParsTriang	52	52	24
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	24
Brain-Left-FrontalLobe-LSupFrontal	10	10	24
Brain-Left-OccipitalLobe-LLatOccipital	11	11	24
Brain-Left-ParietalLobe-LInfParietal	12	12	24
Brain-Left-ParietalLobe-LPrecuneus	13	13	24
Brain-Left-ParietalLobe-LSupParietal	14	14	24
Brain-Left-SensoryMotorCortex-LParacentral	53	53	24
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	24
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	24
Brain-Left-TemporalLobe-LBanksSTS	18	18	24
Brain-Left-TemporalLobe-LFusiform	19	19	24
Brain-Left-TemporalLobe-LInfTemporal	20	20	24
Brain-Left-TemporalLobe-LLingual	21	21	24
Brain-Left-TemporalLobe-LMidTemporal	22	22	24
Brain-Left-TemporalLobe-LSupTemporal	23	23	24
Brain-Left-TemporalLobe-LTransvTemporal	62	62	24
Brain-Right-CerebralCortex-RCerebCtx	24	24	24
Brain-Right-Cingulate-RIsthmCing	55	55	24
Brain-Right-Cingulate-RPostCing	56	56	24
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	24
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	24
Brain-Right-FrontalLobe-RParsOper	58	58	24
Brain-Right-FrontalLobe-RParsOrb	68	68	24
Brain-Right-FrontalLobe-RParsTriang	59	59	24
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	24
Brain-Right-FrontalLobe-RSupFrontal	27	27	24
Brain-Right-OccipitalLobe-RLatOccipital	28	28	24
Brain-Right-ParietalLobe-RInfParietal	29	29	24
Brain-Right-ParietalLobe-RPrecuneus	30	30	24
Brain-Right-ParietalLobe-RSupParietal	31	31	24
Brain-Right-ParietalLobe-RSupramarg	32	32	24
Brain-Right-SensoryMotorCortex-RParacentral	63	63	24
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	24
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	24
Brain-Right-TemporalLobe-RBanksSTS	34	34	24
Brain-Right-TemporalLobe-RFusiform	35	35	24
Brain-Right-TemporalLobe-RInfTemporal	36	36	24
Brain-Right-TemporalLobe-RMidTemporal	37	37	24
Brain-Right-TemporalLobe-RSupTemporal	38	38	24
Brain-Left-SensoryMotorCortex-LParacentral	53	53	25
Brain-Left-Cingulate-LIsthmCing	7	7	25
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	25
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	25
Brain-Left-FrontalLobe-LSupFrontal	10	10	25
Brain-Left-OccipitalLobe-LLatOccipital	11	11	25
Brain-Left-ParietalLobe-LInfParietal	12	12	25
Brain-Left-ParietalLobe-LPrecuneus	13	13	25
Brain-Left-ParietalLobe-LSupParietal	14	14	25
Brain-Left-ParietalLobe-LSupramarg	15	15	25
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	25
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	25
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	25
Brain-Right-FrontalLobe-RParsOper	58	58	25
Brain-Right-FrontalLobe-RParsTriang	59	59	25
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	25
Brain-Right-FrontalLobe-RSupFrontal	27	27	25
Brain-Right-OccipitalLobe-RLatOccipital	28	28	25
Brain-Right-ParietalLobe-RInfParietal	29	29	25
Brain-Right-ParietalLobe-RPrecuneus	30	30	25
Brain-Right-ParietalLobe-RSupParietal	31	31	25
Brain-Right-ParietalLobe-RSupramarg	32	32	25
Brain-Right-SensoryMotorCortex-RParacentral	63	63	25
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	25
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	25
Brain-Right-TemporalLobe-RSupTemporal	38	38	25
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	26
Brain-Left-CerebralCortex-LCerebCtx	6	6	26
Brain-Left-Cingulate-LIsthmCing	7	7	26
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	26
Brain-Left-FrontalLobe-LParsOper	50	50	26
Brain-Left-FrontalLobe-LParsTriang	52	52	26
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	26
Brain-Left-FrontalLobe-LSupFrontal	10	10	26
Brain-Left-OccipitalLobe-LLatOccipital	11	11	26
Brain-Left-ParietalLobe-LInfParietal	12	12	26
Brain-Left-ParietalLobe-LPrecuneus	13	13	26
Brain-Left-ParietalLobe-LSupParietal	14	14	26
Brain-Left-ParietalLobe-LSupramarg	15	15	26
Brain-Left-SensoryMotorCortex-LParacentral	53	53	26
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	26
Brain-Left-TemporalLobe-LBanksSTS	18	18	26
Brain-Left-TemporalLobe-LFusiform	19	19	26
Brain-Left-TemporalLobe-LInfTemporal	20	20	26
Brain-Left-TemporalLobe-LMidTemporal	22	22	26
Brain-Left-TemporalLobe-LSupTemporal	23	23	26
Brain-Left-TemporalLobe-LTransvTemporal	62	62	26
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	26
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	26
Brain-Right-FrontalLobe-RSupFrontal	27	27	26
Brain-Right-OccipitalLobe-RLatOccipital	28	28	26
Brain-Right-ParietalLobe-RInfParietal	29	29	26
Brain-Right-ParietalLobe-RPrecuneus	30	30	26
Brain-Right-ParietalLobe-RSupParietal	31	31	26
Brain-Right-ParietalLobe-RSupramarg	32	32	26
Brain-Right-SensoryMotorCortex-RParacentral	63	63	26
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	26
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	26
Brain-Right-TemporalLobe-RBanksSTS	34	34	26
Brain-Right-TemporalLobe-RMidTemporal	37	37	26
Brain-Right-TemporalLobe-RSupTemporal	38	38	26
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	27
Brain-Left-Cingulate-LIsthmCing	7	7	27
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	27
Brain-Left-FrontalLobe-LParsOper	50	50	27
Brain-Left-FrontalLobe-LParsTriang	52	52	27
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	27
Brain-Left-FrontalLobe-LSupFrontal	10	10	27
Brain-Left-OccipitalLobe-LLatOccipital	11	11	27
Brain-Left-ParietalLobe-LInfParietal	12	12	27
Brain-Left-ParietalLobe-LPrecuneus	13	13	27
Brain-Left-ParietalLobe-LSupParietal	14	14	27
Brain-Left-ParietalLobe-LSupramarg	15	15	27
Brain-Left-SensoryMotorCortex-LParacentral	53	53	27
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	27
Brain-Left-TemporalLobe-LBanksSTS	18	18	27
Brain-Left-TemporalLobe-LFusiform	19	19	27
Brain-Left-TemporalLobe-LInfTemporal	20	20	27
Brain-Left-TemporalLobe-LLingual	21	21	27
Brain-Left-TemporalLobe-LMidTemporal	22	22	27
Brain-Left-TemporalLobe-LSupTemporal	23	23	27
Brain-Left-TemporalLobe-LTransvTemporal	62	62	27
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	27
Brain-Right-FrontalLobe-RParsOper	58	58	27
Brain-Right-FrontalLobe-RParsTriang	59	59	27
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	27
Brain-Right-FrontalLobe-RSupFrontal	27	27	27
Brain-Right-OccipitalLobe-RLatOccipital	28	28	27
Brain-Right-ParietalLobe-RInfParietal	29	29	27
Brain-Right-ParietalLobe-RPrecuneus	30	30	27
Brain-Right-ParietalLobe-RSupParietal	31	31	27
Brain-Right-ParietalLobe-RSupramarg	32	32	27
Brain-Right-SensoryMotorCortex-RParacentral	63	63	27
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	27
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	27
Brain-Right-TemporalLobe-RBanksSTS	34	34	27
Brain-Right-TemporalLobe-RMidTemporal	37	37	27
Brain-Right-TemporalLobe-RSupTemporal	38	38	27
Brain-Right-TemporalLobe-RTransvTemporal	74	74	27
Brain-Left-SubcStriatum-LCaudVol	75	75	28
Brain-Right-SubcStriatum-RCaudVol	76	76	28
Brain-Left-SubcStriatum-LPallVol	77	77	29
Brain-Right-SubcStriatum-RPallVol	78	78	29
Brain-Left-SubcStriatum-LPutamVol	79	79	30
Brain-Right-SubcStriatum-RPutamVol	80	80	30
Brain-Left-SubcTemporal-LAmygVol	81	81	31
Brain-Left-SubcTemporal-LHippVol	17	17	31
Brain-Left-TemporalLobe-LEntCtx	82	82	31
Brain-Left-TemporalLobe-LInfTemporal	20	20	31
Brain-Left-TemporalLobe-LParahipp	83	83	31
Brain-Left-TemporalLobe-LSupTemporal	23	23	31
Brain-Left-TemporalLobe-LTemporalPole	84	84	31
Brain-Right-SubcTemporal-RAmygVol	85	85	31
Brain-Right-SubcTemporal-RHippVol	33	33	31
Brain-Right-TemporalLobe-REntCtx	86	86	31
Brain-Right-TemporalLobe-RTemporalPole	87	87	31
Brain-Left-SubcTemporal-LHippVol	17	17	32
Brain-Left-CerebralCortex-LCerebCtx	6	6	32
Brain-Left-CerebralCortex-LCerebWM	39	39	32
Brain-Left-SubcTemporal-LAmygVol	81	81	32
Brain-Left-TemporalLobe-LEntCtx	82	82	32
Brain-Left-TemporalLobe-LFusiform	19	19	32
Brain-Left-TemporalLobe-LInfTemporal	20	20	32
Brain-Left-TemporalLobe-LMidTemporal	22	22	32
Brain-Left-TemporalLobe-LParahipp	83	83	32
Brain-Left-TemporalLobe-LTemporalPole	84	84	32
Brain-Left-Ventricles-LInfLatVent	88	88	32
Brain-Right-SubcTemporal-RAmygVol	85	85	32
Brain-Right-SubcTemporal-RHippVol	33	33	32
Brain-Right-TemporalLobe-REntCtx	86	86	32
Brain-Right-Ventricles-RInfLatVent	89	89	32
Brain-Left-SubcThalamus-LThalVol	90	90	33
Brain-Right-SubcThalamus-RThalVol	91	91	33
Brain-Left-TemporalLobe-LBanksSTS	18	18	34
Brain-Left-CerebralCortex-LCerebCtx	6	6	34
Brain-Left-Cingulate-LIsthmCing	7	7	34
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	34
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	34
Brain-Left-FrontalLobe-LParsOper	50	50	34
Brain-Left-FrontalLobe-LParsTriang	52	52	34
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	34
Brain-Left-FrontalLobe-LSupFrontal	10	10	34
Brain-Left-OccipitalLobe-LLatOccipital	11	11	34
Brain-Left-ParietalLobe-LInfParietal	12	12	34
Brain-Left-ParietalLobe-LPrecuneus	13	13	34
Brain-Left-ParietalLobe-LSupParietal	14	14	34
Brain-Left-ParietalLobe-LSupramarg	15	15	34
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	34
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	34
Brain-Left-TemporalLobe-LFusiform	19	19	34
Brain-Left-TemporalLobe-LInfTemporal	20	20	34
Brain-Left-TemporalLobe-LLingual	21	21	34
Brain-Left-TemporalLobe-LMidTemporal	22	22	34
Brain-Left-TemporalLobe-LSupTemporal	23	23	34
Brain-Right-CerebralCortex-RCerebCtx	24	24	34
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	34
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	34
Brain-Right-FrontalLobe-RSupFrontal	27	27	34
Brain-Right-OccipitalLobe-RLatOccipital	28	28	34
Brain-Right-ParietalLobe-RInfParietal	29	29	34
Brain-Right-ParietalLobe-RPrecuneus	30	30	34
Brain-Right-ParietalLobe-RSupParietal	31	31	34
Brain-Right-ParietalLobe-RSupramarg	32	32	34
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	34
Brain-Right-TemporalLobe-RBanksSTS	34	34	34
Brain-Right-TemporalLobe-RFusiform	35	35	34
Brain-Right-TemporalLobe-RInfTemporal	36	36	34
Brain-Right-TemporalLobe-RMidTemporal	37	37	34
Brain-Right-TemporalLobe-RSupTemporal	38	38	34
Brain-Left-TemporalLobe-LEntCtx	82	82	35
Brain-Left-SubcTemporal-LAmygVol	81	81	35
Brain-Left-SubcTemporal-LHippVol	17	17	35
Brain-Left-TemporalLobe-LFusiform	19	19	35
Brain-Left-TemporalLobe-LInfTemporal	20	20	35
Brain-Left-TemporalLobe-LMidTemporal	22	22	35
Brain-Left-TemporalLobe-LParahipp	83	83	35
Brain-Left-TemporalLobe-LSupTemporal	23	23	35
Brain-Left-TemporalLobe-LTemporalPole	84	84	35
Brain-Left-Ventricles-LInfLatVent	88	88	35
Brain-Right-SubcTemporal-RAmygVol	85	85	35
Brain-Right-SubcTemporal-RHippVol	33	33	35
Brain-Right-TemporalLobe-REntCtx	86	86	35
Brain-Right-TemporalLobe-RFusiform	35	35	35
Brain-Right-TemporalLobe-RInfTemporal	36	36	35
Brain-Right-TemporalLobe-RMidTemporal	37	37	35
Brain-Right-TemporalLobe-RParahipp	92	92	35
Brain-Right-TemporalLobe-RSupTemporal	38	38	35
Brain-Right-TemporalLobe-RTemporalPole	87	87	35
Brain-Right-Ventricles-RInfLatVent	89	89	35
Brain-Left-TemporalLobe-LFusiform	19	19	36
Brain-Left-CerebralCortex-LCerebCtx	6	6	36
Brain-Left-Cingulate-LIsthmCing	7	7	36
Brain-Left-Cingulate-LPostCing	48	48	36
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	36
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	36
Brain-Left-FrontalLobe-LParsOper	50	50	36
Brain-Left-FrontalLobe-LParsTriang	52	52	36
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	36
Brain-Left-FrontalLobe-LSupFrontal	10	10	36
Brain-Left-OccipitalLobe-LLatOccipital	11	11	36
Brain-Left-ParietalLobe-LInfParietal	12	12	36
Brain-Left-ParietalLobe-LPrecuneus	13	13	36
Brain-Left-ParietalLobe-LSupParietal	14	14	36
Brain-Left-ParietalLobe-LSupramarg	15	15	36
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	36
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	36
Brain-Left-SubcTemporal-LHippVol	17	17	36
Brain-Left-TemporalLobe-LBanksSTS	18	18	36
Brain-Left-TemporalLobe-LEntCtx	82	82	36
Brain-Left-TemporalLobe-LInfTemporal	20	20	36
Brain-Left-TemporalLobe-LLingual	21	21	36
Brain-Left-TemporalLobe-LMidTemporal	22	22	36
Brain-Left-TemporalLobe-LSupTemporal	23	23	36
Brain-Left-TemporalLobe-LTemporalPole	84	84	36
Brain-Left-Ventricles-LInfLatVent	88	88	36
Brain-Right-CerebralCortex-RCerebCtx	24	24	36
Brain-Right-Cingulate-RIsthmCing	55	55	36
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	36
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	36
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	36
Brain-Right-FrontalLobe-RParsOper	58	58	36
Brain-Right-FrontalLobe-RParsTriang	59	59	36
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	36
Brain-Right-FrontalLobe-RSupFrontal	27	27	36
Brain-Right-OccipitalLobe-RLatOccipital	28	28	36
Brain-Right-ParietalLobe-RInfParietal	29	29	36
Brain-Right-ParietalLobe-RPrecuneus	30	30	36
Brain-Right-ParietalLobe-RSupParietal	31	31	36
Brain-Right-ParietalLobe-RSupramarg	32	32	36
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	36
Brain-Right-TemporalLobe-RBanksSTS	34	34	36
Brain-Right-TemporalLobe-REntCtx	86	86	36
Brain-Right-TemporalLobe-RFusiform	35	35	36
Brain-Right-TemporalLobe-RInfTemporal	36	36	36
Brain-Right-TemporalLobe-RLingual	72	72	36
Brain-Right-TemporalLobe-RMidTemporal	37	37	36
Brain-Right-TemporalLobe-RSupTemporal	38	38	36
Brain-Right-TemporalLobe-RTemporalPole	87	87	36
Brain-Left-TemporalLobe-LInfTemporal	20	20	37
Brain-Left-CerebralCortex-LCerebCtx	6	6	37
Brain-Left-Cingulate-LIsthmCing	7	7	37
Brain-Left-Cingulate-LPostCing	48	48	37
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	37
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	37
Brain-Left-FrontalLobe-LParsOper	50	50	37
Brain-Left-FrontalLobe-LParsOrb	51	51	37
Brain-Left-FrontalLobe-LParsTriang	52	52	37
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	37
Brain-Left-FrontalLobe-LSupFrontal	10	10	37
Brain-Left-OccipitalLobe-LLatOccipital	11	11	37
Brain-Left-ParietalLobe-LInfParietal	12	12	37
Brain-Left-ParietalLobe-LPrecuneus	13	13	37
Brain-Left-ParietalLobe-LSupParietal	14	14	37
Brain-Left-ParietalLobe-LSupramarg	15	15	37
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	37
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	37
Brain-Left-SubcTemporal-LAmygVol	81	81	37
Brain-Left-SubcTemporal-LHippVol	17	17	37
Brain-Left-TemporalLobe-LBanksSTS	18	18	37
Brain-Left-TemporalLobe-LEntCtx	82	82	37
Brain-Left-TemporalLobe-LFusiform	19	19	37
Brain-Left-TemporalLobe-LLingual	21	21	37
Brain-Left-TemporalLobe-LMidTemporal	22	22	37
Brain-Left-TemporalLobe-LSupTemporal	23	23	37
Brain-Left-TemporalLobe-LTemporalPole	84	84	37
Brain-Left-Ventricles-LInfLatVent	88	88	37
Brain-Right-CerebralCortex-RCerebCtx	24	24	37
Brain-Right-Cingulate-RIsthmCing	55	55	37
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	37
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	37
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	37
Brain-Right-FrontalLobe-RParsOper	58	58	37
Brain-Right-FrontalLobe-RParsTriang	59	59	37
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	37
Brain-Right-FrontalLobe-RSupFrontal	27	27	37
Brain-Right-OccipitalLobe-RLatOccipital	28	28	37
Brain-Right-ParietalLobe-RInfParietal	29	29	37
Brain-Right-ParietalLobe-RPrecuneus	30	30	37
Brain-Right-ParietalLobe-RSupramarg	32	32	37
Brain-Right-SubcTemporal-RHippVol	33	33	37
Brain-Right-TemporalLobe-RBanksSTS	34	34	37
Brain-Right-TemporalLobe-REntCtx	86	86	37
Brain-Right-TemporalLobe-RFusiform	35	35	37
Brain-Right-TemporalLobe-RInfTemporal	36	36	37
Brain-Right-TemporalLobe-RMidTemporal	37	37	37
Brain-Right-TemporalLobe-RSupTemporal	38	38	37
Brain-Right-TemporalLobe-RTemporalPole	87	87	37
Brain-Left-TemporalLobe-LLingual	21	21	38
Brain-Left-CerebralCortex-LCerebCtx	6	6	38
Brain-Left-Cingulate-LIsthmCing	7	7	38
Brain-Left-FrontalLobe-LSupFrontal	10	10	38
Brain-Left-OccipitalLobe-LCuneus	69	69	38
Brain-Left-OccipitalLobe-LLatOccipital	11	11	38
Brain-Left-ParietalLobe-LInfParietal	12	12	38
Brain-Left-ParietalLobe-LPrecuneus	13	13	38
Brain-Left-ParietalLobe-LSupParietal	14	14	38
Brain-Left-ParietalLobe-LSupramarg	15	15	38
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	38
Brain-Left-TemporalLobe-LBanksSTS	18	18	38
Brain-Left-TemporalLobe-LFusiform	19	19	38
Brain-Left-TemporalLobe-LInfTemporal	20	20	38
Brain-Left-TemporalLobe-LMidTemporal	22	22	38
Brain-Left-TemporalLobe-LSupTemporal	23	23	38
Brain-Right-CerebralCortex-RCerebCtx	24	24	38
Brain-Right-OccipitalLobe-RLatOccipital	28	28	38
Brain-Right-ParietalLobe-RInfParietal	29	29	38
Brain-Right-ParietalLobe-RPrecuneus	30	30	38
Brain-Right-TemporalLobe-RFusiform	35	35	38
Brain-Right-TemporalLobe-RInfTemporal	36	36	38
Brain-Right-TemporalLobe-RLingual	72	72	38
Brain-Left-TemporalLobe-LMidTemporal	22	22	39
Brain-Left-CerebralCortex-LCerebCtx	6	6	39
Brain-Left-Cingulate-LIsthmCing	7	7	39
Brain-Left-Cingulate-LPostCing	48	48	39
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	39
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	39
Brain-Left-FrontalLobe-LParsOper	50	50	39
Brain-Left-FrontalLobe-LParsOrb	51	51	39
Brain-Left-FrontalLobe-LParsTriang	52	52	39
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	39
Brain-Left-FrontalLobe-LSupFrontal	10	10	39
Brain-Left-OccipitalLobe-LLatOccipital	11	11	39
Brain-Left-ParietalLobe-LInfParietal	12	12	39
Brain-Left-ParietalLobe-LPrecuneus	13	13	39
Brain-Left-ParietalLobe-LSupParietal	14	14	39
Brain-Left-ParietalLobe-LSupramarg	15	15	39
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	39
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	39
Brain-Left-SubcTemporal-LHippVol	17	17	39
Brain-Left-TemporalLobe-LBanksSTS	18	18	39
Brain-Left-TemporalLobe-LEntCtx	82	82	39
Brain-Left-TemporalLobe-LFusiform	19	19	39
Brain-Left-TemporalLobe-LInfTemporal	20	20	39
Brain-Left-TemporalLobe-LLingual	21	21	39
Brain-Left-TemporalLobe-LSupTemporal	23	23	39
Brain-Left-TemporalLobe-LTemporalPole	84	84	39
Brain-Left-Ventricles-LInfLatVent	88	88	39
Brain-Right-CerebralCortex-RCerebCtx	24	24	39
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	39
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	39
Brain-Right-FrontalLobe-RParsOper	58	58	39
Brain-Right-FrontalLobe-RParsTriang	59	59	39
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	39
Brain-Right-FrontalLobe-RSupFrontal	27	27	39
Brain-Right-OccipitalLobe-RLatOccipital	28	28	39
Brain-Right-ParietalLobe-RInfParietal	29	29	39
Brain-Right-ParietalLobe-RPrecuneus	30	30	39
Brain-Right-ParietalLobe-RSupramarg	32	32	39
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	39
Brain-Right-TemporalLobe-RBanksSTS	34	34	39
Brain-Right-TemporalLobe-REntCtx	86	86	39
Brain-Right-TemporalLobe-RFusiform	35	35	39
Brain-Right-TemporalLobe-RInfTemporal	36	36	39
Brain-Right-TemporalLobe-RMidTemporal	37	37	39
Brain-Right-TemporalLobe-RSupTemporal	38	38	39
Brain-Right-TemporalLobe-RTemporalPole	87	87	39
Brain-Left-TemporalLobe-LParahipp	83	83	40
Brain-Left-SubcTemporal-LAmygVol	81	81	40
Brain-Left-SubcTemporal-LHippVol	17	17	40
Brain-Left-TemporalLobe-LEntCtx	82	82	40
Brain-Left-TemporalLobe-LSupTemporal	23	23	40
Brain-Right-TemporalLobe-RParahipp	92	92	40
Brain-Left-TemporalLobe-LSupTemporal	23	23	41
Brain-Left-CerebralCortex-LCerebCtx	6	6	41
Brain-Left-Cingulate-LIsthmCing	7	7	41
Brain-Left-Cingulate-LPostCing	48	48	41
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	41
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	41
Brain-Left-FrontalLobe-LParsOper	50	50	41
Brain-Left-FrontalLobe-LParsTriang	52	52	41
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	41
Brain-Left-FrontalLobe-LSupFrontal	10	10	41
Brain-Left-OccipitalLobe-LLatOccipital	11	11	41
Brain-Left-ParietalLobe-LInfParietal	12	12	41
Brain-Left-ParietalLobe-LPrecuneus	13	13	41
Brain-Left-ParietalLobe-LSupramarg	15	15	41
